cities,lat,lng,temp,humidity,cloudiness,wind
cayenne,4.9333,-52.3333,25.65,94,90,1.54
riwaka,-41.0833,173,18.89,54,10,0.45
berlevag,70.8578,29.0864,0.22,80,100,6.43
saint-philippe,-21.3585,55.7679,22.81,73,0,3.6
malbang,5.8556,125.0453,32,58,20,4.12
ketchikan,55.3422,-131.6461,8,61,1,3.09
hilo,19.7297,-155.09,21.05,65,90,4.63
sirsa,29.5333,75.0167,27.31,28,0,3.56
tuktoyaktuk,69.4541,-133.0374,-9,73,40,5.14
asau,46.4333,26.4,1.69,100,0,1.03
filadelfia,39.9523,-75.1638,10.7,50,1,4.12
provideniya,64.3833,-173.3,3.69,65,45,1.68
bamiantong,44.9333,130.5333,2.73,93,100,2.87
poperinge,50.8549,2.6875,4.76,88,68,0.89
khatanga,71.9667,102.5,0.74,98,100,8.15
acazulco,19.2667,-99.4333,16.75,26,20,4.12
tshela,-4.9833,12.9333,22.37,99,100,0.79
great yarmouth,52.6083,1.7305,3.53,86,100,0.51
hovd,48.0056,91.6419,4.01,17,21,4.66
leh,34.1667,77.5833,-2.16,32,7,1.88
agadez,19.75,10.25,27.89,15,31,3.92
saskylakh,71.9167,114.0833,1.13,98,100,8.68
imbituba,-28.24,-48.6703,19,94,40,1.54
mahebourg,-20.4081,57.7,25,88,75,4.63
bethel,41.3712,-73.414,7.22,56,1,2
ibicarai,-14.865,-39.5875,21.06,98,55,0.21
bonavista,48.6499,-53.1147,1.91,86,31,2.57
lorengau,-2.0226,147.2712,26.84,79,94,3.16
roebourne,-20.7833,117.1333,32.29,19,0,6.32
kapaa,22.0752,-159.319,23.37,69,90,7.72
thompson,55.7435,-97.8558,-10,57,1,2.06
novo aripuana,-5.1206,-60.3797,23.01,98,53,0.23
high level,58.5169,-117.136,-2,46,20,1.54
hualmay,-11.0964,-77.6139,18.8,91,9,3.46
japura,-0.3167,102.35,30.33,67,88,1.2
goderich,43.7501,-81.7165,10,50,78,4.63
pangnirtung,66.1451,-65.7125,-0.23,88,100,3.14
makakilo city,21.3469,-158.0858,24.77,50,20,3.6
bambous virieux,-20.3428,57.7575,25.26,88,75,4.63
pisco,-13.7,-76.2167,18.14,88,1,1.54
carnarvon,-24.8667,113.6333,29,42,2,3.09
ginda,30.6945,78.4932,19.27,25,0,0.49
san vicente,-26.6167,-54.1333,16.81,72,71,0.34
chokurdakh,70.6333,147.9167,-11.26,86,21,0.51
oranjemund,-28.55,16.4333,14.66,90,11,2.62
sao jose da coroa grande,-8.8978,-35.1478,25.46,80,14,3.36
te anau,-45.4167,167.7167,11.28,63,64,1.72
dikson,73.5069,80.5464,-0.05,98,100,6.38
bonthe,7.5264,-12.505,25.97,85,100,2.05
mar del plata,-38.0023,-57.5575,16.65,100,90,1.54
kefamenanu,-9.4467,124.4781,28.85,58,6,2.54
bandiagara,14.3501,-3.6104,27,50,0,2.06
rio branco,-9.9747,-67.81,23,100,0,1.03
faanui,-16.4833,-151.75,27.02,73,100,4.49
katsuura,35.1333,140.3,19.44,52,75,3.09
olinda,-8.0089,-34.8553,26,73,20,1.54
bluff,-46.6,168.3333,12.22,75,50,2.68
killybegs,54.6333,-8.45,8.08,61,100,3.73
tastur,36.5513,9.4431,10.21,93,40,1.03
itarema,-2.9248,-39.9167,24.94,88,54,3.54
naqadeh,36.9553,45.388,15.9,33,39,0.39
posevnaya,54.3006,83.3297,4.07,62,61,5.62
port-gentil,-0.7193,8.7815,27.17,76,100,2.22
celestun,20.8667,-90.4,28.37,53,98,8.77
tanete,-3.9443,119.7848,32.63,51,11,2.51
merrill,45.1805,-89.6835,8.82,76,90,1.54
lompoc,34.6391,-120.4579,9.77,76,3,2.57
hamilton,39.1834,-84.5333,8.89,81,1,1.93
luau,-10.7073,22.2247,17.33,86,72,1.63
kahului,20.8947,-156.47,22.25,65,20,8.23
talnakh,69.4865,88.3972,0.32,98,100,4.19
karsava,56.7841,27.6883,0.28,82,99,4.08
eureka,40.8021,-124.1637,10,81,100,1.34
makurdi,7.7411,8.5121,25.27,79,100,2.67
touros,-5.1989,-35.4608,25,94,40,2.06
nikolskoye,59.7035,30.7861,2.32,87,75,2.28
yeppoon,-23.1333,150.7333,24,53,90,3.6
new norfolk,-42.7826,147.0587,15.08,73,89,2.24
port hardy,50.6996,-127.4199,8,100,90,2.06
avarua,-21.2078,-159.775,26,83,75,5.66
talaya,61.3833,152.75,-7.01,69,100,5.11
tomatlan,19.9333,-105.25,21.44,72,77,0.83
mogadishu,2.0371,45.3438,28,69,75,3.82
kruisfontein,-34.0033,24.7314,14.44,94,94,0.45
udachnyy,66.4167,112.4,1.25,100,59,4.69
mitchell,43.7094,-98.0298,3,75,90,5.66
hasaki,35.7333,140.8333,21.64,42,75,2.06
martinsville,36.6915,-79.8725,5.87,87,1,1.48
maniago,46.1706,12.7078,10.56,81,26,1.57
sabha,27.0377,14.4283,20.02,44,45,8.14
lata,40.1629,-8.3327,13.92,92,98,2.92
jamestown,42.097,-79.2353,4.87,53,1,6.69
shar,49.5886,81.0453,4.81,49,37,4.01
gat,31.61,34.7642,17.74,100,34,0.69
chunhuhub,19.55,-88.6833,22.48,86,10,1.74
nouadhibou,20.931,-17.0347,17,88,0,7.72
qazanbulaq,40.6192,46.6519,12.5,87,90,0.37
seoul,37.5683,126.9778,21.31,30,0,5.66
port elizabeth,-33.918,25.5701,14,100,75,2.57
vao,-22.6667,167.4833,24.36,73,77,5.67
clyde river,70.4692,-68.5914,-13,92,90,2.06
caravelas,-17.7125,-39.2481,22.72,88,6,1.48
mwanza,-2.5167,32.9,20,88,75,2.89
namibe,-15.1961,12.1522,24.86,82,40,2.64
saint george,37.1041,-113.5841,19.55,12,1,3.09
jeremie,18.65,-74.1167,24.8,83,21,0.68
palekh,56.8028,41.8572,8.36,81,19,4.62
huarmey,-10.0681,-78.1522,19.53,89,2,2.98
ilhabela,-23.7781,-45.3581,21.52,84,87,2.39
cherskiy,68.75,161.3,-2.14,89,100,2.27
cabo san lucas,22.8909,-109.9124,20.56,50,26,0.45
yinchuan,38.4681,106.2731,10.71,81,100,3.41
khani,41.9563,42.9566,14,67,0,2.57
izhma,65.0083,53.9113,6.26,81,72,2.49
moosomin,50.1333,-101.6677,-1.67,42,38,2.75
mayumba,-3.432,10.6554,24.67,87,100,2.87
shingu,33.7333,135.9833,18,63,75,4.63
garbolovo,60.3413,30.4955,2.5,67,54,1.09
puerto ayora,-0.7393,-90.3518,25,96,11,1.34
vestmanna,62.1564,-7.1664,6,100,90,2.06
shikhany,52.1167,47.2167,8.2,80,75,2.77
airai,-8.9266,125.4092,23.55,51,19,1.73
gimli,50.6336,-96.9907,-3,43,65,0.51
mareeba,-17,145.4333,25.6,79,99,3.13
mandalgovi,45.7625,106.2708,11.19,35,100,12.98
chernyshevskiy,63.0128,112.4714,1.31,86,100,3.83
atar,20.5169,-13.0499,23.93,17,0,2.91
crotone,39.0851,17.1178,7.1,100,90,7.2
hacienda,15.936,120.1786,32.06,47,5,5.76
lehrte,52.3833,9.9667,2.4,93,40,2.06
erzin,36.9559,36.2,17.78,53,25,4.47
cockburn town,21.4612,-71.1419,25.62,78,12,7.67
kayerkan,69.3497,87.7602,-0.79,95,100,9.73
cayeli,41.0923,40.7292,14.81,67,9,3.58
kijang,35.2442,129.2139,22,46,40,4.12
suntar,62.1444,117.6319,5.65,59,65,4.79
yellowknife,62.456,-114.3525,-10.87,62,40,2.06
sabang,5.8933,95.3214,28.45,72,93,7.64
upernavik,72.7868,-56.1549,-2.31,90,100,1.52
bac lieu,9.285,105.7244,31.48,57,82,4.66
hoa binh,20.8133,105.3383,30,79,75,5.66
bijar,35.8668,47.6051,13.65,24,97,0.74
tura,25.5198,90.2201,33.23,19,29,2.81
palafrugell,41.9174,3.1631,6.02,93,43,0.99
kizukuri,40.8061,140.3861,17.43,31,0,6.69
chico,39.7285,-121.8375,20.71,43,20,8.23
olkhovka,53.2115,60.6069,8.01,54,100,7.53
houma,29.5958,-90.7195,22.83,88,90,6.17
sao joao da barra,-21.6403,-41.0511,19.67,88,0,3.09
ancud,-41.8697,-73.8203,7.42,100,40,1.08
riyadh,24.6877,46.7219,26,15,0,2.57
horsham,51.064,-0.3272,2.93,87,0,1.54
coquimbo,-29.9533,-71.3436,12,82,0,3.6
bathsheba,13.2167,-59.5167,26,65,40,8.23
geraldton,-28.7667,114.6,31,20,3,2.57
fortuna,40.5982,-124.1573,9.8,93,90,2.57
dakar,14.6937,-17.4441,20,94,20,5.14
kerikeri,-35.2268,173.9474,20.56,63,34,3.58
kathmandu,27.7167,85.3167,24,41,40,1.03
longyearbyen,78.2186,15.6401,-7,86,75,3.09
severo-kurilsk,50.6789,156.125,3.02,88,95,3.01
baykit,61.67,96.37,3.76,81,84,0.1
codrington,-38.2667,141.9667,15.57,73,84,5.68
port moresby,-9.4431,147.1797,29.12,72,83,2.16
poum,-20.2333,164.0167,26.28,78,99,3.04
batagay,67.6333,134.6333,-5.46,72,68,1.37
matagami,49.7502,-77.6328,4,65,1,3.09
san jose,37.3394,-121.895,11.99,71,40,5.66
mana,5.6592,-53.7767,24.93,90,100,5.05
coffs harbour,-30.3,153.1333,23,49,0,4.63
serebryansk,49.6925,83.2892,4,52,75,2
black river,18.0264,-77.8487,24.98,78,40,1.54
iqaluit,63.7506,-68.5145,-2.11,100,90,4.08
piney green,34.716,-77.3202,11.99,71,1,1.54
adrar,20.5022,-10.0711,22.94,17,1,4.04
moussoro,13.6408,16.4901,27.47,13,17,2.84
coihaique,-45.5752,-72.0662,8,81,75,1.54
praya,14.9215,-23.5087,20,77,40,5.14
hambantota,6.1241,81.1185,31,79,20,1.03
mount gambier,-37.8333,140.7667,16,82,40,7.2
puerto carreno,6.189,-67.4859,30.95,55,78,1.05
ahipara,-35.1667,173.1667,18.47,67,50,4.1
zelenoborsk,61.4669,64.0333,5.89,81,99,1.81
dhamtari,20.7072,81.5497,36.73,12,58,2.18
teya,60.3778,92.6267,4.61,74,47,1.59
phonhong,18.5007,102.4166,34,59,20,1.03
taungdwingyi,20.0167,95.55,35.93,37,3,3.6
camacha,33.0833,-16.3333,16,77,40,2.57
bara,10.3744,10.7288,27.04,60,99,6.17
gubkinskiy,64.434,76.5026,1.32,100,100,5.22
peniche,39.3558,-9.3811,15.4,90,16,3.58
vardo,70.3705,31.1107,1.59,67,100,7.12
mollendo,-17.0231,-72.0147,18.75,83,42,2.84
haines junction,60.7522,-137.5108,9,27,11,1.54
san policarpo,12.1791,125.5072,28.37,77,100,2.84
acapulco,16.8634,-99.8901,26.24,67,94,1.73
kavieng,-2.5744,150.7967,27.4,74,97,1.53
havoysund,70.9963,24.6622,-1,64,75,5.14
americus,32.0724,-84.2327,17.3,48,1,1.54
jardim,-21.4803,-56.1381,22.12,51,55,1.57
albanel,48.8832,-72.4487,3,56,2,3.09
kuressaare,58.2481,22.5039,3.05,65,85,4.47
sao filipe,14.8961,-24.4956,21.37,76,32,3.89
bilibino,68.0546,166.4372,-2.5,78,60,1.39
padang,-0.9492,100.3543,30,66,20,2.06
portland,45.5234,-122.6762,12.1,61,100,0.89
ambunti,-4.2365,142.8448,29.96,77,96,1.18
trairi,-3.2778,-39.2689,23.94,93,68,2.65
puerto armuelles,8.2833,-82.8667,25.1,86,29,1.06
araouane,18.9048,-3.5265,29.3,12,8,3.64
ambilobe,-13.2,49.05,22.91,82,53,1.39
tiksi,71.6872,128.8694,-6.99,84,100,8.81
nanchital,18.0667,-94.4,26.87,68,98,3.22
buraydah,26.326,43.975,22,26,20,1.03
sinnamary,5.3833,-52.95,25.16,90,100,5.47
los llanos de aridane,28.6585,-17.9182,15.89,52,20,3.09
phalaborwa,-23.943,31.1411,15,94,57,2.06
kalmunai,7.4167,81.8167,29.71,67,12,1.8
tautira,-17.7333,-149.15,26.83,74,40,1.54
yumen,40.2833,97.2,10.3,40,75,1.53
ruteng,-8.6136,120.4721,24.52,55,2,0.43
pevek,69.7008,170.3133,-6.42,86,50,0.98
antofagasta,-23.65,-70.4,15,88,20,2.57
williams lake,52.1415,-122.1445,4.68,33,20,1.03
mehamn,71.0357,27.8492,-0.11,81,99,6.34
anadyr,64.75,177.4833,-2.12,74,0,1
pacific grove,36.6177,-121.9166,10.95,85,51,2.12
alice springs,-23.7,133.8833,23.18,25,0,5.66
iturama,-19.7281,-50.1956,18.12,54,0,2.78
san miguel,13.4833,-88.1833,29,65,0,1.09
santa cruz de la palma,28.6835,-17.7642,16.61,52,20,3.09
abbotsford,49.058,-122.2526,11.23,82,90,3.09
saint-joseph,-21.3667,55.6167,22.85,73,0,3.6
lagoa,39.05,-27.9833,14.17,73,58,14.61
pandan,14.0453,124.1694,28.38,74,58,2.7
the valley,18.217,-63.0578,25.7,78,20,4.63
norman wells,65.282,-126.8329,0,69,90,4.63
kusti,13.1629,32.6635,30.15,36,8,3.61
vestmannaeyjar,63.4427,-20.2734,8.02,90,100,7.16
stephenville,32.2207,-98.2023,17.27,88,40,2.57
yevlax,40.6089,47.1492,14,77,40,1.03
iralaya,15,-83.2333,26.04,74,6,4.64
samana,19.2056,-69.3369,24.05,86,12,3.43
rocha,-34.4833,-54.3333,16.6,96,84,3.6
charters towers,-20.1,146.2667,20.34,82,100,6.1
lakes entrance,-37.8811,147.981,18.89,47,91,0.89
korla,41.7597,86.1469,10.05,41,16,1.15
lima,-12.0432,-77.0282,17.85,88,75,3.6
kismayo,-0.3582,42.5454,27.45,77,57,3.76
bongandanga,1.5,21.05,21.01,99,97,1.14
burevestnik,56.144,43.7883,10,66,0,3
jintur,19.6167,76.7,34.7,15,93,3.13
mangai,-4.05,19.5333,20.21,99,100,1.67
killarney,52.05,-9.5167,6.87,87,100,2.87
petit-bourg,16.1914,-61.5916,25,78,75,2.57
brae,60.3964,-1.353,7,87,20,1.54
puerto escondido,15.85,-97.0667,28,83,40,2
pangkalanbuun,-2.6833,111.6167,34.48,42,77,1.11
maniitsoq,65.4167,-52.9,-1.3,69,23,2.71
petropavlovsk-kamchatskiy,53.0452,158.6483,5,81,87,5
bandarbeyla,9.4942,50.8122,28.63,71,89,2.59
sur,22.5667,59.5289,32.28,31,0,1.68
narrabri,-30.3167,149.7833,23.44,27,3,2.06
porto walter,-8.2686,-72.7439,22.41,98,54,0.8
motala,58.5371,15.0365,0.13,60,0,4.63
kretinga,55.8758,21.2508,4,81,0,2.57
purificacion,3.8587,-74.9313,23.29,86,23,1.08
russell,32.3502,-85.1999,15.44,42,1,2.57
fairbanks,64.8378,-147.7164,13.14,26,1,3.6
kilsyth,55.976,-4.0592,6.96,81,90,5.66
boende,-0.2167,20.8667,21.45,97,100,1.73
wels,48.1667,14.0333,1.64,81,0,1.03
bay-khaak,51.1667,94.5,3.26,65,90,1
verkhnyaya inta,65.9811,60.3094,4.46,87,13,2.06
chirilagua,13.2203,-88.1386,29,65,0,1.07
tezu,27.9167,96.1667,34.65,19,2,1.87
eucaliptus,-17.5833,-67.5167,7.1,74,69,1.77
wuda,39.4994,106.7117,12.97,62,100,7.63
zhicheng,30.2956,111.5047,13.89,96,100,5.43
kenai,60.5544,-151.2583,8.6,53,1,1.54
salalah,17.0151,54.0924,28,74,20,1.54
port augusta,-32.5,137.7667,19,59,0,5.66
srostki,52.4189,85.7022,2.41,81,93,3.57
qasigiannguit,68.8193,-51.1922,-1,59,100,2.19
pontianak,-0.0333,109.3333,32,58,40,1.54
mordovo,52.0834,40.77,9.56,83,100,5.16
gornopravdinsk,60.05,69.9,5.16,89,100,2.67
phalombe,-15.8064,35.6507,15.41,88,0,0.78
tevaitoa,-16.7833,-151.5,26.53,75,100,5.1
galveston,29.3669,-94.9669,23,94,90,5.66
fengxian,34.7039,116.5872,16.28,70,100,5.54
mbarara,-0.608,30.65,15.11,92,69,0.7
tynset,62.2759,10.7824,-4,74,40,6.69
aykhal,66,111.5,0.82,99,24,5.32
teguldet,57.3064,88.1667,5,68,100,2.88
lasa,46.6166,10.7002,3.91,75,0,1.54
bako,5.7833,36.5667,16.86,95,100,0.86
ibi,38.6253,-0.5723,10.75,76,100,0.45
save,8.0425,2.486,25.7,80,100,2.02
laurel,39.0993,-76.8483,7.75,70,1,2.18
bermeo,43.4209,-2.7215,12.79,39,0,6.17
ilulissat,69.2167,-51.1,-1,59,100,2.37
north platte,41.1239,-100.7654,4,75,1,8.23
maceio,-9.6658,-35.7353,24,94,40,1.03
mangrol,21.1167,70.1167,29.29,63,100,4.69
trapani,37.8333,12.6667,14.06,100,20,2.57
astana,51.1801,71.446,8,27,0,5
esmeraldas,-19.7625,-44.3139,17.5,82,0,1.54
saldanha,-33.0117,17.9442,13,88,85,3.3
muroto,33.2833,134.15,20,60,75,5.14
aguimes,27.9054,-15.4461,19.26,68,75,3.09
morehead,37.2711,-87.1764,12,62,1,3.3
ulsteinvik,62.3432,5.8487,0.42,100,75,2.72
sao felix do xingu,-6.6447,-51.995,21.75,98,31,0.46
aleysk,52.4926,82.7822,5.86,51,73,4.15
margate,51.3813,1.3862,5.85,78,93,0.89
richards bay,-28.783,32.0377,18.93,67,97,6.85
evensk,61.95,159.2333,-0.63,95,100,5.05
valparaiso,-33.0393,-71.6273,14.44,75,0,4.35
lubango,-14.9172,13.4925,16.25,67,97,1.5
nekhayevskiy,50.4106,41.7561,9.44,78,100,4.92
zhigansk,66.7697,123.3711,-3.87,80,100,5.32
general roca,-39.0333,-67.5833,11,71,0,2.57
okhotsk,59.3833,143.3,-0.52,56,9,7.25
tommot,58.9564,126.2925,-0.47,64,100,5.47
lavrentiya,65.5833,-171,0.18,85,6,1.9
licata,37.1071,13.9461,9.37,98,29,3.76
kyzyl-suu,42.3414,78.0056,6.53,37,17,1.43
fershampenuaz,53.5202,59.8117,7.64,65,100,7.3
lyaskelya,61.7667,31.0167,1.28,90,65,2.13
mulege,26.8833,-111.9833,18.76,47,0,1.33
nantucket,41.2835,-70.0995,7.64,87,1,5.14
tooele,40.5308,-112.2983,9.33,56,1,4.12
atasu,48.6814,71.6433,6.61,24,57,7.44
honiara,-9.4333,159.95,29.34,71,78,2.48
praia,14.9215,-23.5087,20,77,40,5.14
dimitrovgrad,54.2139,49.6184,7,93,100,3
sechura,-5.5569,-80.8222,21.46,72,10,6.39
shahrud,36.4182,54.9763,15.86,56,100,2.28
dvinskoy,62.1535,45.1175,9.06,70,99,4
inirida,3.8653,-67.9239,23.96,94,98,1.16
kibala,9.1104,18.3463,25,73,0,2.92
komsomolskiy,40.4272,71.7189,18,27,98,2.06
hirara,24.8,125.2833,25,73,40,8.23
ponta delgada,37.7333,-25.6667,14,72,20,9.26
neiafu,-18.65,-173.9833,29,74,20,3.09
letlhakane,-21.4167,25.5833,15.35,37,0,2.7
jiaozuo,35.2397,113.2331,16.33,57,100,5.53
takestan,36.0696,49.6959,13,71,0,1.03
novyy urengoy,66.0833,76.6333,1.43,100,100,3.82
ngaoundere,7.3167,13.5833,17.86,90,100,2.96
miri,4.4148,114.0089,31.32,70,40,3.6
edea,3.8,10.1333,24.05,98,100,0.63
del rio,29.3627,-100.8968,27,13,1,5.14
coahuayana,18.7333,-103.6833,22.48,74,55,0.59
bendigo,-36.7667,144.2833,16.67,53,100,1.34
puerto madero,14.7208,-92.4215,28,83,75,1.66
bilma,18.6853,12.9164,28.59,12,2,4.35
karratha,-20.7377,116.8463,32.42,18,0,7.22
bairiki,1.3292,172.9752,30,74,20,4.12
naryan-mar,67.6713,53.087,1.67,80,65,2.48
ratnagiri,16.9833,73.3,30.05,48,75,2.53
dabat,12.9842,37.765,15.34,54,96,1.51
palmer,42.1584,-72.3287,4.8,46,1,1.54
puerto del rosario,28.5004,-13.8627,19,72,0,2.06
calama,-22.4667,-68.9333,7,61,0,3.09
chipinge,-20.1883,32.6236,12.37,88,5,0.9
andenes,69.3143,16.1194,1.25,69,40,5.66
basco,20.4487,121.9702,25.07,75,14,4.7
bubaque,11.2833,-15.8333,25.12,70,67,5.99
cuamba,-14.8031,36.5372,16.24,96,44,1.12
alto araguaia,-17.3147,-53.2153,18.05,57,39,1.55
bayji,34.9311,43.487,24.33,14,43,2.74
novyy rogachik,48.6768,44.0608,10,81,0,4
presidente epitacio,-21.7633,-52.1156,18.2,50,0,3.24
sakaiminato,35.55,133.2333,18.4,68,75,4.63
tigil,57.8,158.6667,0.34,89,100,3.03
namatanai,-3.6667,152.4333,28.68,67,79,2.91
spencer,43.1414,-95.1444,5.63,76,1,6.17
sibolga,1.7427,98.7792,28.77,68,99,1.41
byron bay,-28.65,153.6167,22.34,53,75,3.6
vila franca do campo,37.7167,-25.4333,14,72,20,9.26
san pedro,14.35,121.0167,32.14,58,20,3.6
brownsville,25.9018,-97.4975,24.85,88,1,8.75
tabuk,17.4189,121.4443,31.19,46,5,2.9
luderitz,-26.6481,15.1594,17.11,76,3,4.03
binga,-17.6203,27.3414,17.72,74,1,0.31
kisarazu,35.3747,139.9225,17.92,52,75,3.09
moa,20.6569,-74.9403,24.78,84,26,5.37
salym,60.0625,71.4789,5.36,78,100,3.05
yabelo,4.8833,38.0833,14.43,90,96,2.12
kiunga,-6.1219,141.2906,31.94,63,34,1.73
biltine,14.5333,20.9167,28.42,14,96,4.53
belfast,54.5833,-5.9333,7.15,81,100,3.09
phuket,8,98.25,30.05,74,40,4.12
sawakin,19.1059,37.3321,27.18,66,93,0.48
sioux lookout,50.1001,-91.917,-3,93,90,1.54
cacapava do sul,-30.5122,-53.4914,12.78,74,16,1.03
aklavik,68.2191,-135.0107,0.48,59,77,2.57
college,64.8569,-147.8028,13.12,32,20,2.57
nyaunglebin,17.95,96.7333,35.92,43,69,4.07
ilorin,8.5,4.55,26,89,20,2.57
blagoveshchenka,52.8333,79.8667,5.82,58,7,3.6
alta floresta,-9.8756,-56.0861,21.47,95,78,0.61
zhangye,38.9342,100.4517,10.09,51,83,0.81
dingle,10.9995,122.6711,33.71,48,92,4.15
kisangani,0.5167,25.2,20.54,99,94,0.5
awjilah,29.1081,21.2869,22.44,18,26,6.54
leningradskiy,69.3833,178.4167,-1.85,88,94,3.17
kimbe,-5.5502,150.1429,28.51,73,91,1.4
xinzhi,36.4989,111.7047,17.32,47,100,3.39
harper,4.375,-7.7169,26.94,83,91,3.32
kodinsk,58.6881,99.1844,5.89,64,90,2.43
yanam,16.7333,82.2167,31,62,20,4.12
chumikan,54.7183,135.315,3.17,55,98,2.33
zyryanka,65.75,150.85,-8.46,89,100,9.76
yaransk,57.3033,47.8861,6.86,82,92,4.43
kaitangata,-46.2817,169.8464,12.22,62,96,1.79
mamburao,13.25,120.6667,31.29,55,11,4.93
tateyama,34.9833,139.8667,18.07,48,75,3.6
nisporeni,47.0814,28.1783,5,87,0,1.54
hellin,38.5106,-1.701,8.78,87,40,2.06
hobyo,5.3505,48.5268,29.08,69,87,4.04
arman,59.7,150.1667,0.16,66,11,2.54
kidal,18.4411,1.4078,27.88,9,0,3.92
saint-augustin,51.226,-58.6502,0.03,98,100,6.58
paita,-5.0892,-81.1144,21.08,76,12,5.59
waipawa,-41.4122,175.5153,17.25,68,2,6.69
puerto cabezas,14.0351,-83.3888,24.58,79,8,3.74
semnan,35.5729,53.3971,21.83,38,98,1.91
vostok,46.4856,135.8833,3.41,73,100,2.64
flores,16.9226,-89.8994,24.08,76,97,2.69
tulun,54.5611,100.5792,1.24,74,100,5.08
adolfo lopez mateos,28.4667,-107.3,5.56,32,0,2.45
kvarkeno,52.0833,59.725,7.11,68,100,7.05
kulhudhuffushi,6.6221,73.07,28.8,73,62,3.44
zubtsov,56.1753,34.5894,2.25,84,100,2.54
taonan,45.3333,122.7833,13.7,16,87,6.38
valdivia,-39.8142,-73.2459,4,100,20,0.51
acajutla,13.5928,-89.8275,24.44,71,10,0.45
grindavik,63.8424,-22.4338,8,93,90,8.23
tala,30.6803,30.9429,13.29,85,5,2.49
andros town,24.7,-77.7667,24,83,40,4.63
drinovci,43.355,17.3539,5.78,81,0,2.57
scarborough,54.2797,-0.4044,4.34,73,100,0.61
