,cities,lat,lng,temp,humidity,cloudiness,wind
48,bend,44.0582,-121.3153,11.48,28,1,1.93
49,chuy,-33.6971,-53.4616,18.04,90,34,4.09
50,coahuayana,18.7333,-103.6833,22.48,74,55,0.59
51,pevek,69.7008,170.3133,-6.42,86,50,0.98
52,bluff,-46.6,168.3333,12.22,77,50,2.24
53,high level,58.5169,-117.136,-2,54,20,3.09
54,balkhash,46.844,74.9804,6,28,0,9
55,hermanus,-34.4187,19.2345,12.78,89,98,2.11
56,dingle,10.9995,122.6711,33.71,48,92,4.15
57,dikson,73.5069,80.5464,-0.05,98,100,6.38
58,hilo,19.7297,-155.09,21.43,65,90,4.63
59,puerto ayora,-0.7393,-90.3518,25,95,11,1.34
60,yarmouth,41.7057,-70.2286,7.54,81,0,2.57
62,khatanga,71.9667,102.5,0.74,98,100,8.15
63,saldanha,-33.0117,17.9442,12,87,85,1.54
64,nuuk,64.1835,-51.7216,0,93,4,5.66
65,launceston,-41.45,147.1667,17.86,48,40,5.66
66,port elizabeth,-33.918,25.5701,14,94,90,3.09
68,meridian,43.6121,-116.3915,14.1,33,1,3
69,tiksi,71.6872,128.8694,-6.99,84,100,8.81
70,sao filipe,14.8961,-24.4956,21.37,76,32,3.89
71,veracruz,19.3333,-96.6667,26.06,89,20,0.79
72,avarua,-21.2078,-159.775,27,78,40,6.17
74,evensk,61.95,159.2333,-0.63,95,100,5.05
75,muli,2.9167,73.5667,28.68,65,26,4.05
76,arraial do cabo,-22.9661,-42.0278,22.38,83,34,6.5
78,hay river,60.8156,-115.7999,-8,67,96,1.54
79,tuktoyaktuk,69.4541,-133.0374,-8,73,40,6.17
80,antalaha,-14.9003,50.2788,23.04,89,97,2.67
81,carnarvon,-24.8667,113.6333,29,42,2,3.09
82,tasiilaq,65.6145,-37.6368,3,70,75,10.8
83,lasa,46.6166,10.7002,3.94,75,0,1.54
84,cockburn town,21.4612,-71.1419,25.62,78,12,7.67
85,mahebourg,-20.4081,57.7,24,94,75,5.14
86,gorontalo,0.5412,123.0595,25.82,86,100,0.28
87,kodiak,57.79,-152.4072,5,81,90,4.12
88,cubuk,40.2386,33.0322,9.71,71,0,2.06
89,kamennogorsk,60.9545,29.1339,2.41,91,98,2.18
90,butaritari,3.0707,172.7902,27.52,76,100,3
91,camacha,33.0833,-16.3333,15,88,20,6.17
92,seoul,37.5683,126.9778,21.34,26,0,3.6
93,atuona,-9.8,-139.0333,26.84,77,22,10.68
94,hami,42.8,93.45,12.03,21,72,5.05
95,kavieng,-2.5744,150.7967,27.4,74,97,1.53
97,henties bay,-22.116,14.2845,17.96,85,42,3.03
98,iquique,-20.2208,-70.1431,18,59,0,1.54
99,dunedin,-45.8742,170.5036,10.56,89,100,2.24
100,geraldton,-28.7667,114.6,30,23,3,2.06
101,chokurdakh,70.6333,147.9167,-11.26,86,21,0.51
102,coihaique,-45.5752,-72.0662,8,81,75,1.54
103,adelaide,-34.9333,138.6,19.24,63,20,5.14
104,kudahuvadhoo,2.6708,72.8944,28.61,64,24,3.87
105,dehui,44.5333,125.7,5,70,90,5
106,qaanaaq,77.484,-69.3632,-8.56,76,100,2.81
107,narsaq,60.9167,-46.05,2,75,20,1.22
108,fort nelson,58.8053,-122.7002,2,41,20,3.09
109,urumqi,43.801,87.6005,2,60,75,2
110,mitsamiouli,-11.3847,43.2844,27.21,79,82,5.65
111,marsa matruh,31.3525,27.2453,12,94,40,1.54
112,boralday,43.3578,76.8594,3,38,27,2
113,kapaa,22.0752,-159.319,23.49,69,90,7.72
114,longyearbyen,78.2186,15.6401,-7,86,75,3.09
116,talnakh,69.4865,88.3972,0.32,98,100,4.19
117,hithadhoo,-0.6,73.0833,28.14,69,54,1.42
118,korla,41.7597,86.1469,10.05,41,16,1.15
119,iqaluit,63.7506,-68.5145,-2.11,100,90,1.54
120,new norfolk,-42.7826,147.0587,15.25,73,89,1.34
121,bathsheba,13.2167,-59.5167,26,65,40,8.23
122,tigre,-34.426,-58.5796,17.57,88,0,3.09
123,san,13.3034,-4.8956,31.57,22,51,1.93
124,souillac,-20.5167,57.5167,24,94,75,5.14
125,kristiansand,58.1467,7.9956,1.02,74,9,1.03
126,yerbogachen,61.2767,108.0108,4.4,67,33,4.04
127,jalu,29.0331,21.5482,22.02,19,46,6.64
128,tuatapere,-46.1333,167.6833,12.22,77,49,2.24
129,sao felix do xingu,-6.6447,-51.995,21.75,98,31,0.46
130,romilly-sur-seine,48.5108,3.7263,3.26,75,0,2.06
131,rio gallegos,-51.6226,-69.2181,10,76,75,2.57
132,kefamenanu,-9.4467,124.4781,28.85,58,6,2.54
133,bambous virieux,-20.3428,57.7575,24.74,94,75,5.14
134,mareeba,-17,145.4333,25.83,81,99,2.68
135,xichang,27.8964,102.2634,27.32,26,20,1.89
136,nador,35.174,-2.9287,15.64,77,90,6.69
138,waingapu,-9.6567,120.2641,29.33,68,4,4.53
139,jacareacanga,-6.2222,-57.7528,22.67,99,82,0.91
140,luderitz,-26.6481,15.1594,17.11,76,3,4.03
141,akureyri,65.6835,-18.0878,2,93,0,1.54
142,asau,46.4333,26.4,3.89,58,37,1.94
143,mirebalais,18.8333,-72.1053,25,78,66,2.06
144,lavrentiya,65.5833,-171,0.18,85,6,1.9
145,bahia de caraquez,-0.6,-80.4167,24,83,20,1.54
146,oranjemund,-28.55,16.4333,14.66,90,11,2.62
147,yulara,-25.2406,130.9889,24,29,15,6.17
149,flagstaff,35.1981,-111.6513,9.52,31,1,4.63
151,plettenberg bay,-34.0527,23.3716,15.37,86,51,1.05
152,upernavik,72.7868,-56.1549,-2.31,90,100,1.52
154,cidreira,-30.1811,-50.2056,20.66,83,1,6.77
155,kirakira,-10.4544,161.9205,29.57,66,72,2.28
157,beringovskiy,63.05,179.3167,-1.06,94,99,2.18
158,caravelas,-17.7125,-39.2481,22.72,88,6,1.48
159,matagami,49.7502,-77.6328,6,56,1,2.57
161,ponta do sol,32.6667,-17.1,13.11,80,25,1.79
162,egvekinot,66.3167,-179.1667,-0.39,84,100,1.07
163,mayo,38.8876,-76.5119,8.06,61,1,2.49
164,izhma,65.0083,53.9113,6.26,81,72,2.49
165,bethel,41.3712,-73.414,7.04,56,1,2
166,sibolga,1.7427,98.7792,28.77,68,99,1.41
167,moree,-29.4667,149.85,23,25,3,3.21
168,batagay,67.6333,134.6333,-5.46,72,68,1.37
169,deer lake,49.1667,-57.4316,0.78,93,75,1.54
170,solnechnyy,50.7214,136.6319,6.31,41,80,5.5
171,vestmannaeyjar,63.4427,-20.2734,8.02,90,100,7.16
172,manzanillo,20.3433,-77.1167,24.48,77,45,5.29
173,shelburne,44.0787,-80.2041,6.98,52,1,1.54
174,buenavista,8.9769,125.4089,30.63,63,100,3.83
175,tombouctou,20,-3,28.27,13,38,3.32
176,saint george,37.1041,-113.5841,19.83,12,1,3.09
177,nueva londres,-25.4045,-56.5498,17.86,91,71,1.85
178,vagur,61.4732,-6.8119,7.33,86,99,1.55
179,bengkulu,-3.8004,102.2655,28.66,64,99,1.78
180,cap malheureux,-19.9842,57.6142,25.56,83,88,2.24
181,los llanos de aridane,28.6585,-17.9182,15.53,55,0,2.57
182,bulgan,48.8125,103.5347,0.29,91,100,2.51
183,russell,32.3502,-85.1999,15.85,42,1,2.57
184,lazaro cardenas,17.9583,-102.2,24.58,71,95,0.97
185,chifeng,42.2683,118.9636,11.77,67,100,5.86
186,cherskiy,68.75,161.3,-2.14,89,100,2.27
187,ixtapa,20.7,-105.2,24,78,1,1.17
188,lompoc,34.6391,-120.4579,9.81,76,3,2.57
189,cuamba,-14.8031,36.5372,16.24,96,44,1.12
190,san pedro de tutule,14.25,-87.85,20.97,57,99,1.38
191,bambui,-20.0064,-45.9769,15.55,72,0,1.36
192,lavumisa,-27.31,31.892,13.63,91,4,1.77
193,vila franca do campo,37.7167,-25.4333,14,67,40,5.14
195,katsuura,35.1333,140.3,19.2,52,75,2.57
196,bowen,-20.0167,148.2333,24,78,90,7.72
197,anaconda,46.1285,-112.9423,0.05,75,1,3.6
198,gizo,-8.103,156.8419,28.52,74,88,4.51
199,abaza,52.655,90.0928,4.09,59,100,1.38
200,aranos,-24.1333,19.1167,16.28,32,0,3.44
201,pasni,25.2631,63.471,27.61,72,0,2.63
203,bandarbeyla,9.4942,50.8122,28.63,71,89,2.59
204,vila velha,-20.3297,-40.2925,22,88,0,1.54
205,conde,-7.2597,-34.9075,24,94,0,2.86
206,beloha,-25.1667,45.05,20.26,77,0,4.52
207,kaitangata,-46.2817,169.8464,13.89,62,96,1.34
208,oxford,51.7522,-1.256,4.27,65,0,2.57
209,la paz,-16.5,-68.15,5,93,75,5.14
210,san patricio,28.017,-97.5169,24.8,89,90,2.57
211,ambovombe,-25.1667,46.0833,20.05,87,1,3.39
212,kampong cham,11.9934,105.4635,33.48,45,37,3.34
213,provideniya,64.3833,-173.3,3.69,65,45,1.68
214,saskylakh,71.9167,114.0833,1.13,98,100,8.68
215,ucluelet,48.9329,-125.5528,10,84,100,2.14
216,kruisfontein,-34.0033,24.7314,14.44,94,94,0.45
217,sao joao da barra,-21.6403,-41.0511,19.67,88,0,3.09
218,sechura,-5.5569,-80.8222,21.46,72,10,6.39
219,kalangala,-0.3089,32.225,20,88,20,2.06
220,araceli,10.5529,119.9913,28.18,72,100,2.96
222,buala,-8.145,159.5921,29.13,70,58,2.17
223,tranas,58.0372,14.9782,-0.13,64,0,4.63
224,prado,-17.3411,-39.2208,23.63,86,19,2.49
225,prince rupert,54.3161,-130.3201,9,76,1,3.09
226,airai,-8.9266,125.4092,23.55,51,19,1.73
227,castro,-24.7911,-50.0119,11.55,92,7,1.28
229,gigmoto,13.7796,124.39,28.6,71,78,1.33
230,ishigaki,24.3448,124.1572,26,69,20,8.75
231,vila praia de ancora,41.811,-8.8526,14.37,94,75,1.54
232,zaranj,30.9667,61.8833,26,7,0,13.89
233,mogadishu,2.0371,45.3438,28.29,69,46,3.82
234,pangnirtung,66.1451,-65.7125,-0.23,88,100,3.14
235,guerrero negro,27.9769,-114.0611,14.86,80,2,8.28
236,marystown,47.1666,-55.1483,2.78,82,90,8.88
237,guhagar,17.4842,73.1929,31.48,39,55,2.93
238,deep river,46.1001,-77.4995,11,37,1,2.06
239,san felipe,10.3399,-68.7425,22.63,92,88,2.31
240,tarakan,3.3,117.6333,30,74,20,2.57
241,isangel,-19.55,169.2667,30,74,75,2.57
242,quelimane,-17.8786,36.8883,20.77,94,0,1.03
243,victoria,22.2855,114.1577,24.52,61,20,8.23
244,quatre cocos,-20.2078,57.7625,24.82,94,75,5.14
245,broken hill,-31.95,141.4333,19,42,42,3.6
246,sibu,2.3,111.8167,31.8,66,40,1.03
247,ibra,22.6906,58.5334,28.84,24,0,0.29
248,qasigiannguit,68.8193,-51.1922,-1,59,100,2.19
249,bosaso,11.2842,49.1816,29.7,63,16,5.58
250,peleduy,59.6289,112.7406,2.86,93,96,3.36
251,ulladulla,-35.35,150.4667,19.75,43,87,1.54
252,mecca,21.4267,39.8261,29.69,27,75,0.89
253,umtata,-31.5889,28.7844,9,93,0,1.54
254,joao neiva,-19.7575,-40.3856,22,88,0,1.54
255,bilma,18.6853,12.9164,28.59,12,2,4.35
256,vardo,70.3705,31.1107,1.59,67,100,7.12
257,werda,-25.2667,23.2833,16.5,33,0,0.8
258,sapa,5.1544,120.3241,30.02,63,87,1.76
259,port-gentil,-0.7193,8.7815,27.17,76,100,2.22
260,araouane,18.9048,-3.5265,29.3,12,8,3.64
261,raudeberg,61.9875,5.1352,1.11,89,80,5.78
262,tarime,-1.35,34.3667,20,94,75,1.32
263,parchim,53.4263,11.8488,1.46,94,86,2.68
264,follonica,42.9263,10.7616,12.17,71,0,5.14
265,jurado,7.1053,-77.7641,25.01,91,98,1.28
266,christchurch,-43.5333,172.6333,16.77,72,75,2.57
267,calvinia,-31.4707,19.776,16.26,37,0,1.47
268,carauari,-4.8828,-66.8958,22.74,97,37,0.74
269,faanui,-16.4833,-151.75,27.02,73,100,4.49
271,muros,42.7762,-9.0603,14.12,95,90,3.4
272,husavik,66.0449,-17.3389,2,93,0,1.54
273,soyo,-6.1349,12.3689,25.21,88,96,1.59
274,pingyi,35.5006,117.6308,13.45,81,100,5.41
275,monduli,-3.3,36.45,18,94,75,2.57
276,rorvik,64.8621,11.2373,3.25,62,100,7.64
277,oktyabrskoye,43.0645,44.7417,7,93,40,1
278,torbay,47.6666,-52.7314,3.08,100,90,5.14
279,te anau,-45.4167,167.7167,11.28,63,64,1.72
280,benalla,-36.55,145.9833,15.11,42,90,3.6
281,nome,64.5011,-165.4064,3,70,1,1.2
282,macusani,-14.0833,-70.4333,0.3,94,9,1.74
283,itabira,-19.6192,-43.2269,15.02,94,1,0.32
284,rocha,-34.4833,-54.3333,16.6,96,84,3.6
285,comodoro rivadavia,-45.8667,-67.5,9,76,0,3.6
286,marawi,7.9986,124.2928,30,71,100,3.13
288,thompson,55.7435,-97.8558,-8,49,20,2.57
289,urk,52.6625,5.6014,1.89,86,100,3.06
290,praia da vitoria,38.7333,-27.0667,13.71,72,40,15.22
291,progreso,21.2833,-89.6667,28,57,1,6.17
292,vao,-22.6667,167.4833,24.36,73,77,5.67
293,san quintin,30.4833,-115.95,14.16,81,14,6.6
294,laukaa,58.7372,29.8453,0.59,87,98,3.3
295,misratah,32.3754,15.0925,16.37,85,98,12.05
296,fortuna,40.5982,-124.1573,9.75,93,90,3.6
298,myaundzha,63.0494,147.1858,-8.16,73,100,1.97
299,georgetown,5.4112,100.3354,28.46,83,40,1.03
301,lorengau,-2.0226,147.2712,26.84,79,94,3.16
302,nanortalik,60.1432,-45.2371,1.29,93,17,1.47
303,kyabram,-36.3167,145.05,19.44,44,100,4.25
304,mount gambier,-37.8333,140.7667,16,88,75,6.17
305,forio,40.7342,13.8646,13.68,75,100,4.02
306,eureka,40.8021,-124.1637,10.05,80,100,2.68
307,namatanai,-3.6667,152.4333,28.68,67,79,2.91
308,sangar,63.9242,127.4739,-2.02,79,99,5.5
309,port lincoln,-34.7333,135.8667,17.72,60,73,4.14
310,ilulissat,69.2167,-51.1,-1,59,100,2.37
311,saint pete beach,27.7253,-82.7412,22.38,1,100,1.34
312,ust-nera,64.5667,143.2,-6.72,64,100,2.04
313,touros,-5.1989,-35.4608,25,94,40,2.06
314,vilkaviskis,54.6517,23.0322,-0.05,82,81,4.44
315,port macquarie,-31.4333,152.9167,22.76,44,49,0.89
316,obihiro,42.9172,143.2044,22,33,0,2.57
317,welkom,-27.9864,26.7066,12.87,36,10,2.83
319,necochea,-38.5473,-58.7368,15,98,100,0.76
320,kuopio,62.8924,27.677,1,93,90,2.57
321,ayutla,20.1167,-104.3333,17.24,50,72,1.62
322,zhigansk,66.7697,123.3711,-3.87,80,100,5.32
323,alcantara,-2.4089,-44.4147,25,100,75,2.06
324,dhadar,28.3305,75.0632,27.54,25,0,3.34
325,aleksandrovka,46.8383,32.7612,3,100,0,3
326,palu,-0.8917,119.8707,33.2,51,31,1.82
327,cascais,38.6979,-9.4215,16.11,93,7,6.02
328,sinnamary,5.3833,-52.95,25.16,90,100,5.47
329,buraydah,26.326,43.975,22,24,20,2.57
330,batagay-alyta,67.8006,130.4114,-5.3,66,52,3.11
331,champerico,14.3,-91.9167,18.2,95,61,1.7
332,taperoa,-7.2075,-36.8267,21.65,92,51,4.74
333,mount isa,-20.7333,139.5,30,21,38,6.69
334,lundazi,-12.2929,33.1782,14.98,96,18,2.54
335,vieux fort,13.7167,-60.95,27,74,40,7.72
336,salalah,17.0151,54.0924,28,74,20,1.54
337,sharjah,25.3573,55.4033,29.5,19,0,2.06
338,san jeronimo,-11.9472,-75.2829,8.24,87,68,0.3
339,hamilton,39.1834,-84.5333,9.21,62,90,2.06
341,iralaya,15,-83.2333,26.04,74,6,4.64
342,nurota,40.5614,65.6886,18,39,100,3.09
343,alofi,-19.0595,-169.9187,28,83,22,4.12
344,tarko-sale,64.9225,77.785,3.33,77,100,6.04
345,port hardy,50.6996,-127.4199,8.61,93,90,1.54
346,teshie,5.5836,-0.1072,28,83,20,4.12
347,tecoanapa,16.5167,-98.75,26.56,73,100,1.51
348,altay,47.8667,88.1167,-0.13,38,2,2.65
349,pleasanton,37.6624,-121.8747,10.41,81,40,6.69
350,seymour,38.9592,-85.8903,11.53,67,98,3.02
351,naryan-mar,67.6713,53.087,1.67,80,65,2.48
352,shakawe,-18.3667,21.85,14.52,42,27,2.38
353,damghan,36.1683,54.348,17.06,60,100,0.53
354,tucuman,-26.8241,-65.2226,19,100,90,2.57
355,pervomayskiy,53.2485,40.2871,7.78,85,100,5.38
356,yenagoa,4.9247,6.2642,25.36,92,100,1.74
357,lata,40.1629,-8.3327,13.91,92,98,2.92
358,vaxjo,56.8777,14.8091,-1.54,74,16,2.06
359,prince albert,53.2001,-105.7677,-1,51,75,1.54
360,huarmey,-10.0681,-78.1522,19.53,89,2,2.98
361,maniitsoq,65.4167,-52.9,-1.3,69,23,2.71
362,valparaiso,-33.0393,-71.6273,14.44,76,0,4.35
363,vanimo,-2.6741,141.3028,27.62,84,100,2.37
364,saint anthony,45.0205,-93.218,7.23,81,90,2.06
366,vestmanna,62.1564,-7.1664,6,100,75,2.57
367,maloy,61.9353,5.1136,1.5,75,90,3.09
368,hualmay,-11.0964,-77.6139,18.8,91,9,3.46
370,chapais,49.7834,-74.8492,4,48,1,2.57
371,leningradskiy,69.3833,178.4167,-1.85,88,94,3.17
372,haines junction,60.7522,-137.5108,11,22,11,1.03
373,diego de almagro,-26.3667,-70.05,10.81,82,3,0.82
374,moose factory,51.2585,-80.6094,-1.52,93,90,6.17
375,piet retief,-27.0071,30.8132,5.97,93,1,1.57
376,taoudenni,22.6783,-3.9836,28.65,8,0,3.76
377,kalat,29.0225,66.5916,19.27,23,0,3.57
378,biloela,-24.4167,150.5,27.88,24,20,1.9
379,tabuk,17.4189,121.4443,31.19,46,5,2.9
380,madiun,-7.6298,111.5239,30.03,60,3,0.23
381,qui nhon,13.7667,109.2333,30.42,65,31,5.02
382,constitucion,-35.3333,-72.4167,12.74,72,0,3.32
383,garbolovo,60.3413,30.4955,2.5,66,54,1.09
385,livenka,50.4491,38.2959,4.83,95,100,6.79
386,kingman,35.1894,-114.053,18.43,22,1,4.12
387,ustye,59.6304,39.736,6.91,94,100,3.62
388,alamosa,37.4695,-105.87,0,74,1,3.09
389,loreto,22.2667,-101.9667,17.75,18,43,4.47
390,saint-pierre,-21.3393,55.4781,22.6,78,0,5.14
391,manono,-7.3,27.4167,19.93,91,45,1.45
392,ocean city,39.2776,-74.5746,11.44,47,1,3.6
393,namibe,-15.1961,12.1522,24.86,82,40,2.64
394,inhambane,-23.865,35.3833,18.56,85,93,2.43
396,manicore,-5.8092,-61.3003,23.09,96,65,0.19
397,mahanoro,-19.9,48.8,21.87,93,63,3.4
398,tabas,33.5959,56.9244,29.37,15,91,0.75
399,itapeva,-23.9822,-48.8756,12.82,96,5,1.84
400,roald,62.5833,6.1333,1.05,80,75,3.09
401,rawson,-43.3002,-65.1023,12.11,71,1,7.85
402,petropavlovsk-kamchatskiy,53.0452,158.6483,4,87,87,5
403,hasaki,35.7333,140.8333,21.1,48,75,1.54
404,kralendijk,12.15,-68.2667,27,78,75,7.2
406,shimoda,34.6667,138.95,17.72,55,75,4.12
407,khash,28.2211,61.2158,24.69,6,0,0.7
408,enid,36.3956,-97.8784,12.65,100,100,6.69
409,pala,9.3642,14.9046,27.15,54,100,3.38
410,hatton,6.8916,80.5955,22.95,66,9,0.8
412,perleberg,53.0667,11.8667,2.78,89,86,2.85
413,brenham,30.1669,-96.3977,22.51,100,40,2.06
414,taltal,-25.4,-70.4833,16.25,83,7,0.11
415,klaksvik,62.2266,-6.589,6,100,75,2.57
416,muroto,33.2833,134.15,20,64,75,5.66
417,nazca,-14.8333,-74.95,19.92,75,2,1.9
418,santa cruz de tenerife,28.4682,-16.2546,15.52,87,0,3.6
419,paita,-5.0892,-81.1144,21.08,76,12,5.59
420,weligama,5.9667,80.4167,28.41,76,67,2.68
421,sitka,57.0531,-135.33,14,28,20,2.06
422,yumen,40.2833,97.2,10.3,40,75,1.53
423,flinders,-34.5833,150.8552,22.78,55,100,1.79
424,ejido,8.5514,-71.2375,21.13,88,82,0.94
425,totness,5.8833,-56.3167,24.8,90,99,4.36
426,ouadda,8.0777,22.4007,20.49,94,100,1.42
427,byron bay,-28.65,153.6167,22.39,56,75,3.6
428,kununurra,-15.7667,128.7333,32,19,55,5.66
430,ravar,31.2656,56.8055,27,13,25,1.05
431,mehamn,71.0357,27.8492,-0.11,81,99,6.34
432,marsh harbour,26.5412,-77.0636,23.06,70,64,7.05
433,tabou,4.423,-7.3528,26.57,85,97,2.98
434,truro,50.2653,-5.0544,8.87,57,94,9.26
435,changli,39.7042,119.1506,18.25,52,60,6.65
436,hovd,48.0056,91.6419,4.01,17,21,4.66
438,abdulino,53.7,53.6667,5.99,92,100,4.72
439,mega,4.05,38.3,15.41,86,15,2.01
440,clyde river,70.4692,-68.5914,-13,92,90,1.03
441,camacupa,-12.0167,17.4833,15.36,76,91,1.43
442,puerto colombia,10.9878,-74.9547,27,83,0,2.57
443,itaqui,-29.1253,-56.5531,20.74,77,100,3.2
444,bauchi,10.5,10,26.38,48,100,1.84
445,west wendover,40.7391,-114.0733,16,12,1,1.54
446,north bend,43.4065,-124.2243,9.41,87,75,2.57
447,vaitape,-16.5167,-151.75,26.98,73,100,4.54
448,ayna,-12.65,-73.9167,14.36,87,66,1.22
449,poyarkovo,49.6,128.6833,10.76,22,2,9.17
451,jiwani,25.05,61.7417,28.36,74,5,3.58
452,uvinza,-5.1036,30.3911,17.19,95,68,0.96
453,nikita,44.5333,34.2333,8.33,63,60,4.23
454,palmer,42.1584,-72.3287,4.51,46,1,1.54
455,shimanovsk,52,127.7,9.15,18,25,8.26
456,belaya gora,68.5333,146.4167,-5.87,74,96,2.39
457,doka,13.5167,35.7667,29.1,37,83,2.22
458,lujan,-34.5703,-59.105,16.37,98,100,2.24
459,motala,58.5371,15.0365,-0.05,60,0,4.63
460,the pas,53.8251,-101.2541,-3,54,1,1.97
461,vila,42.0304,-8.1588,12.78,95,100,1.91
462,itaituba,-4.2761,-55.9836,21.74,98,51,0.45
463,pitimbu,-7.4706,-34.8086,24,94,0,3.83
464,nizwa,22.9333,57.5333,29.54,18,0,1.03
466,laguna,38.421,-121.4238,13.49,62,1,5.14
467,pandamatenga,-18.5278,25.627,14.56,47,3,2.68
468,aden,12.7794,45.0367,27.53,80,2,7.7
469,porto novo,6.4965,2.6036,29,84,40,7.72
470,lexington,37.9887,-84.4777,9.84,66,20,3.6
471,krasnoselkup,65.7,82.4667,0.91,100,95,7.2
472,chulman,56.8479,124.9104,-0.31,91,100,8.02
473,pozo colorado,-23.4923,-58.7972,20.41,88,97,1.33
474,grand haven,43.0631,-86.2284,7.64,53,1,4.12
475,riyadh,24.6877,46.7219,26,15,0,2.57
477,vannes,47.8333,-2.5,9.45,53,0,5.14
478,valsad,20.6333,72.9333,31,66,20,1.85
479,acapulco,16.8634,-99.8901,26.24,67,94,1.73
480,tromso,69.6496,18.957,-1.36,86,75,1.03
481,kahului,20.8947,-156.47,22.24,65,20,8.23
482,anadyr,64.75,177.4833,-3.19,80,0,3
483,burnie,-41.0667,145.9167,16.11,58,66,4.92
484,ingham,42.6,-84.3833,6.45,65,75,3.6
485,robertsport,6.7533,-11.3686,27.23,80,67,2.92
486,bilibino,68.0546,166.4372,-2.5,78,60,1.39
487,valdivia,-39.8142,-73.2459,4,100,20,0.51
489,pimenteiras,-6.2453,-41.4192,21.33,96,33,1.07
490,carutapera,-1.195,-46.02,23.97,95,100,2.06
491,brae,60.3964,-1.353,7,87,20,1.54
492,matara,5.9485,80.5353,28.35,77,61,2.56
493,laval,45.57,-73.692,10.11,53,33,2.57
494,rafraf,37.1904,10.1837,13.5,88,75,2.06
495,trat,12.5,102.5,29.39,89,40,6.17
496,havre-saint-pierre,50.2334,-63.5986,-2,100,1,1.54
497,chara,56.9064,118.2631,1.28,81,16,2.57
498,noumea,-22.2763,166.4572,28,69,90,1.03
499,amapa,1,-52,22.01,99,99,0.75
500,sorkjosen,69.8,20.9333,-3.27,89,92,1.04
501,havoysund,70.9963,24.6622,-1,64,75,5.14
502,sosnovo-ozerskoye,52.5249,111.5418,8.16,14,100,3.21
503,fairbanks,64.8378,-147.7164,13.15,24,1,3.09
504,santana do livramento,-30.8908,-55.5328,19.29,59,89,3.12
505,olafsvik,64.8945,-23.7142,6.2,96,100,5.41
506,ostersund,63.1792,14.6357,-2.61,80,13,6.69
507,kennett,36.2362,-90.0556,15.73,59,90,4.12
508,algeciras,36.1333,-5.4505,17,77,90,10.8
509,omboue,-1.5746,9.2618,24.62,93,100,1.17
511,troitskoye,52.9821,84.6757,3.37,69,100,3.7
512,meulaboh,4.1363,96.1285,27.55,76,100,1.31
513,sept-iles,50.2001,-66.3821,0.81,100,100,2.57
515,tautira,-17.7333,-149.15,26.84,74,40,1.54
516,kristiinankaupunki,62.2743,21.376,0.59,96,100,11.23
517,arona,28.0996,-16.681,15.88,77,40,3.09
